ACCEPT	OK
GUILD_INFO_NAME	Nome
GUILD_INFO_NAME_VALUE	Nome
GUILD_INFO_OFFER_EXP	Investir
GUILD_INFO_REST_EXP	Próximo nível
GUILD_INFO_UPLOAD_MARK	Escolher emblema
GUILD_INFO_UPLOAD_SYMBOL	Selecionar bandeira
GUILD_MARK	Emblema da guilda
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Líder
GUILD_MEMBER_LEVEL	Nível
GUILD_MEMBER_NAME	Personagem
GUILD_MEMBER_RANK	Título
GUILD_MEMBER_SPECIFIC_GRAVITY	Exp %
GUILD_METIN_STONE	Pedra Espiritual
GUILD_MINENAL	Mineral
GUILD_MONEY	Gold da Guilda
GUILD_NAME	Guilda
GUILD_RESOURCE_INFO	Informações de recursos
GUILD_SKILL_ACTIVE	Skills Ativas
GUILD_SKILL_PASSIVE	Skills Passivas
GUILD_SKILL_POWER	GSP
GUILD_SKILL_STATE	Skills da guilda
GUILD_SKIlL_HEAL_GSP	Restaurar GSP
GUILD_SYMBOL	Bandeira da guilda
GUILD_WAR_ACCEPT	Aceitar Guerra entre Guildas
GUILD_WAR_BATTLE_TYPE	Tipo de Batalha
GUILD_WAR_CTF	Captura
GUILD_WAR_DECLARE	Declarar guerra entre guildas
GUILD_WAR_ENEMY	Guilda inimiga
GUILD_WAR_NORMAL	Batalha
GUILD_WAR_WARP	Arena
GUILD_WATER	Água
GUILD_WATER_STONE	Pedra d'água
GUILD_WITHDRAW	Retirar
HELP_ATTACK_KEY	<Espaço> ou <Botão esquerdo do mouse> são usados para atacar com seu personagem
HELP_CHANGE_PK_MODE	<Ctrl>+<B> Se desmontado, envia o cavalo ao estábulo
HELP_CHARACTER_BUTTON1	Janelas de Status, Inventário, 
HELP_CHARACTER_BUTTON2	Lista de Contatos e Menu
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	A visão da câmera é ajustável através do botão através do botão scroll do mouse,
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	<Ctrl>+<Botão direito do mouse> é usado para olhar ao redor do personagem
HELP_EXP	Experiência
HELP_FURY	Indicador de Fúria (não implementado)
HELP_GUILD_WINDOW	<Alt>+<G> abre e fecha a janela de Guilda
HELP_HELP	<H> abre a janela de ajuda. Também pode ser acessada através do Menu, acessado com a tecla <Esc>
HELP_HP	HP
HELP_MESSENGER_WINDOW	<Alt>+<M> acessa a Lista de Contatos
HELP_MOUSE_LEFT	Função [Botão Esquerdo do Mouse]
HELP_MOUSE_RIGHT	Função [Botão Direito do Mouse]
HELP_MOVE_KEY	Use <W>, <S>, <A>, <D> ou as setas para mover seu personagem
HELP_OPEN_CHARACTER	<C> abre a janela de Status do personagem
HELP_OPEN_CHAT	<Enter> abre e fecha a janela de conversa
HELP_OPEN_INVENTORY	<I> acessa a janela de Inventário
HELP_OPEN_LOG	<L> abre o histórico de chat
HELP_OPEN_MINIMAP	<Shift>+<M> abre e fecha o Mini-Mapa
HELP_OPEN_QUEST	<N> é usado para acessar o quadro de Quests
HELP_OPEN_SKILL	<V> abre sua janela de Skills
HELP_OPEN_WHISPER	<Shift>+<Enter> abre a janela de Mensagens Particulares
HELP_OPEN_ZONEMAP	<M> é usado para abrir e fechar o Mapa completo
HELP_PICK_ITEM	<'> ou <Z> são usados para apanhar os itens no chão
HELP_QUICKSLOT	Atalhos
HELP_SCREEN_CAPTURE	<Print Screen> captura uma imagem. A imagem será salva na pasta Metin2/Screenshots
HELP_SHOW_ALL_NAME	<Alt> exibe o nome de todos os personagens e itens
HELP_SP	MP
HELP_SYSTEM_BUTTON	Menu
INVENTORY_PAGE_BUTTON_TOOLTIP_1	Inventário
INVENTORY_PAGE_BUTTON_TOOLTIP_2	Inventário II
INVENTORY_TITLE	Inventário
LOAD_ERROR	Os dados estão corrompidos. Por favor reinstale o Metin 2. Pressione Esc para sair.
LOGIN_CONNECT	Conectar
LOGIN_CONNECTING	Conectando...
LOGIN_DEFAULT_SERVERADDR	Nome do servidor, canal 1
LOGIN_EXIT	Fechar
LOGIN_REGION_TITLE	Escolha o Reino
LOGIN_SELECT_BUTTON	Servidor
LOGIN_SELECT_EXIT	Voltar
LOGIN_SELECT_OK	Selecionar
LOGIN_SELECT_TITLE	Escolha o Servidor
MALL_PASSWORD_TITLE	Senha
MALL_TITLE	Retirada do Item Mall
MARKET_TITLE	Loja
MARKLIST_REFRESH	Atualizar
MARKLIST_TITLE	Emblema da guilda
MESSAGE	Mensagem
MESSENGER_ADD_FRIEND	Adicionar contato
MESSENGER_DELETE_FRIEND	Remover contato
MESSENGER_MOBILE	Enviar SMS
MESSENGER_OPEN_GUILD	Abrir janela de guilda
MESSENGER_TITLE	Lista de contatos
MESSENGER_USE_GUILD_MOVE_SKILL	Usar skill de mover a guilda
MESSENGER_WHISPER	Mensagem Particular
MINIMIZE	Minimizar
MOUSEBUTTON_ATTACK	Atacar
MOUSEBUTTON_AUTO_ATTACK	Ataque Automático
MOUSEBUTTON_CAMERA	Câmera
MOUSEBUTTON_SKILL	Skill
MUSICLIST_TITLE	Lista de BGM
NO	Não
OK	Ok
OPTION_ALWAYS_SHOW_NAME	Nome
OPTION_ALWAYS_SHOW_NAME_OFF	Tecla <Alt>
OPTION_ALWAYS_SHOW_NAME_ON	Sempre
OPTION_BLOCK	Bloquear
OPTION_BLOCK_EXCHANGE	Negociação
OPTION_BLOCK_FRIEND	Contato
OPTION_BLOCK_GUILD	Guilda
OPTION_BLOCK_PARTY	Grupo
OPTION_BLOCK_PARTY_REQUEST	Participar
OPTION_BLOCK_WHISPER	Mensagens
OPTION_CAMERA_DISTANCE	Câmera
OPTION_CAMERA_DISTANCE_LONG	Longe
OPTION_CAMERA_DISTANCE_SHORT	Perto
OPTION_DELETE_MOBILE_BUTTON	Remover número de celular
OPTION_EFFECT	Dano
OPTION_FOG	Neblina
OPTION_FOG_DENSE	Alta
OPTION_FOG_LIGHT	Baixa
OPTION_FOG_MIDDLE	Média
OPTION_FOG_ON	On
OPTION_FOG_OFF	Off
OPTION_INPUT_MOBILE_BUTTON	Inserir número de celular
OPTION_MOBILE	Número de celular
OPTION_MUSIC	BGM
OPTION_MUSIC_CHANGE	Alterar
OPTION_MUSIC_DEFAULT_THEMA	BGM Padrão
OPTION_NAME_COLOR	Cor nome
OPTION_NAME_COLOR_EMPIRE	Reino
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	Modo PvP
OPTION_PVPMODE_FREE	Livre
OPTION_PVPMODE_FREE_TOOLTIP	Permite atacar todos os jogadores
OPTION_PVPMODE_GUILD	Guilda
OPTION_PVPMODE_GUILD_TOOLTIP	Permite atacar todos os jogadores, exceto membros da guilda
OPTION_PVPMODE_PEACE	Pacífico
OPTION_PVPMODE_PEACE_TOOLTIP	Não ataca outros jogadores, mas é possível contra-atacar
OPTION_PVPMODE_REVENGE	Honra
OPTION_PVPMODE_REVENGE_TOOLTIP	Ataca somente personagens com Classe de Honra oposta
OPTION_SOUND	SFX
OPTION_TARGET_BOARD	Alvo
OPTION_TARGET_BOARD_NO_VIEW	Ocultar
OPTION_TARGET_BOARD_VIEW	Exibir
OPTION_TITLE	Opções
OPTION_VIEW_CHAT	Chat
OPTION_VIEW_CHAT_OFF	Ocultar
OPTION_VIEW_CHAT_ON	Exibir
OPTION_MOB_INFO	Info Monstro
OPTION_MOB_INFO_LEVEL	Nível	
OPTION_MOB_INFO_AGGR	Agressivo
OPTION_NIGHT_MODE	Noite
OPTION_NIGHT_MODE_ON	on
OPTION_NIGHT_MODE_OFF	off
OPTION_SNOW_MODE	Nevando
OPTION_SNOW_MODE_ON	on
OPTION_SNOW_MODE_OFF	off
OPTION_SNOW_TEXTURE_MODE	Neve
OPTION_SNOW_TEXTURE_MODE_ON	on
OPTION_SNOW_TEXTURE_MODE_OFF	off
PARTY_MEMBER_INFO_NAME	Membro
PASSWORD_TITLE	Senha do Armazém
PICK_MONEY_TITLE	Quantia
PRIVATE_SHOP_CLOSE_BUTTON	Fechar
PRIVATE_SHOP_NAME	Nome da loja
PRIVATE_SHOP_TITLE	Loja particular
REFINE_COST	Custo da Refinação: 0 Gold
REFINE_INFO	Chance de Refinação bem-sucedida: 100%
REFINE_TTILE	Refinação
RESTART_HERE	Retornar aqui
RESTART_TOWN	Retornar na cidade
SAFE_CHANGE_PASSWORD	Alterar senha
SAFE_TITLE	Armazém
SELECT_ATT_GRADE	FOR
SELECT_CREATE	Novo Personagem
SELECT_DELETE	Excluir
SELECT_DEX_GRADE	DES
SELECT_EMPIRE_NAME	Reino
SELECT_EXIT	Voltar
SELECT_HP	VIT
SELECT_LEVEL	Nível
SELECT_METIN_STONE_TITLE	Escolha a gema
SELECT_NAME	Nome
SELECT_NO_GUILD	Sem guilda
SELECT_PLAYTIME	Tempo de jogo
SELECT_SELECT	Selecionar Personagem
SELECT_SP	INT
SELECT_TITLE	Título
SHOP_BUY	Comprar
SHOP_SELL	Vender
SHOP_TITLE	Loja
SKILL_SUPPORT_TITLE	Skills Passivas
SYSTEMOPTION_TITLE	Opções de sistema
SYSTEM_CHANGE	Selecionar personagem
SYSTEM_EXIT	Fechar o jogo
SYSTEM_HELP	Ajuda
SYSTEM_LOGOUT	Logout
SYSTEM_MALL	Loja de itens
SYSTEM_OPTION	Opções de sistema
TASKBAR_CHARACTER	Status [<C>/<V>/<B>/<N>]
TASKBAR_CHAT	Chat [<Enter>]
TASKBAR_INVENTORY	Inventário [<I>]
TASKBAR_MESSENGER	Lista de contatos [<Alt>+<M>]
TASKBAR_NEXT_QUICKSLOT	Atalhos seguintes [<Shift>+<Número> ou <Alt>]
TASKBAR_PREV_QUICKSLOT	Atalhos anteriores [<Shift>+<Número>]
TASKBAR_SYSTEM	Menu [<Esc>]
WHISPER_BAN	Bloquear
WHISPER_NAME	Mensagem Particular com
WHISPER_SEND	Enviar
YES	Sim
ZONE_MAP	Mapa Completo
GUILD_BUILDING_PRICE	Preço
GUILD_BUILDING_STONE	Pedra
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_PLY	Compensado
CUBE_TITLE	Cubo
CREATE_SEX	Sexo
CREATE_MAN	Masculino
CREATE_WOMAN	Feminino
PASSWORD_DESC_1	Insira sua senha
PASSWORD_DESC_2	para abrir o Item Mall
REPORT_VIOLENT_WHISPER	test
WHISPER_REPORT	test
COSTUME_WINDOW_TITLE	Trajes
OPTION_SALESTEXT	Loja
OPTION_SALESTEXT_VIEW_ON	Mostrar
OPTION_SALESTEXT_VIEW_OFF	Esconder
DRAGONSOUL_TITLE	Pedra de Dragão
DRAGONSOUL_PAGE_BUTTON_1	Com(D)
DRAGONSOUL_PAGE_BUTTON_2	Incom(C)
DRAGONSOUL_PAGE_BUTTON_3	Rara(B)
DRAGONSOUL_PAGE_BUTTON_4	Antiga(A)
DRAGONSOUL_PAGE_BUTTON_5	Lendária(S)
DRAGONSOUL_ACTIVATE	Ativar 
DRAGONSOUL_REFINE_WINDOW_TITLE	Refinamento de Pedra de Dragão
REFINE_SELECT	Selecionar Refinação
REFINE_MONEY	Custo da Refinação
DO_REFINE	Refinar
GRADE	Classe
STEP	Brilho
STRENGTH	Level
TASKBAR_EXPAND	Maximizar
TASKBAR_MONEY_EXPAND	Expansão Monetária
TASKBAR_DRAGON_SOUL	Pedra de Dragão
TASKBAR_DISABLE	Fechar
DRAGONSOUL_TAP_TITLE_1	Diamante
DRAGONSOUL_TAP_TITLE_2	Rubi
DRAGONSOUL_TAP_TITLE_3	Jade
DRAGONSOUL_TAP_TITLE_4	Safira
DRAGONSOUL_TAP_TITLE_5	Granada
DRAGONSOUL_TAP_TITLE_6	Ônix
GRADE_SELECT	Classe
STEP_SELECT	Brilho
STRENGTH_SELECT	Level
CUBE_REQUIRE_MATERIAL_OR	ou
ACCE_ABSORB	Bônus de Absorção
ACCE_COMBINE	Combinação
ACCE_MAIN	Faixa 1
ACCE_RESULT	Resultado
ACCE_SERVE	Faixa 2
COMB_TITLE	Janela de Combinação
COMB_APPEARANCE	Traje 1
COMB_ATTRIBUTE	Traje 2
MINI_GAME_RUMI_EXIT	Sair
MINI_GAME_RUMI_SCORE	Pontos
MINI_GAME_RUMI_LBUTTON_DESC	Insere a carta.
MINI_GAME_RUMI_RBUTTON_DESC	Descarta a carta.
MINI_GAME_RUMI_START_TEXT	Começar
MINI_GAME_RUMI_TITLE	Okey
MINI_GAME_RUMI_DISCARD_TEXT	janela de confirmação
COMB_SKILLBOOK_TILE	Trocar Livros
ATTENDANCE_TITLE	Quest Diária
BANNER_ATTENDANCE_BUTTON	Quest Diária
TASKBAR_PET_INFO	Pet Info
PET_INFORMATION_TITLE	Informação do Pet
PET_FEED_TITLE	Alimentar
PET_FEED_TITLE_EVOLVE	Evoluir
PET_FEED_TITLE_EXP	EXP de Item
PET_FFED_BUTTON_TEXT	Alimentar
PET_INFORMATION_ABILITIES	Habilidades
PET_INFORMATION_LEVEL	Nível
PET_INFORMATION_EXP	EXP
PET_INFORMATION_AGE	Idade
PET_INFORMATION_LIFE	Vida
PET_INFORMATION_DEFENCE	Defesa
PET_INFORMATION_SP	MP
PET_INFORMATION_HP	HP
PET_INFORMATION_SKILL	Habilidades
PET_INFORMATION_LIFE_TIME	Duração
PET_HATCHING_WINDOW_TITLE	Incubadora
PET_HATCHING_BUTTON	Incubar
PET_HATCHING_NIK	Nickname
PET_INFORMATION_LIFETIME_BUTTON	Alimentar
PET_INFORMATION_EVOL_BUTTON	Evoluir
PET_INFORMATION_EXP_BUTTON	EXP de Item
CHAT_FILTER	Chat Filter
CHAT_FILTER_DICE	Dado
PRIVATESHOPSEARCH_BUY	Comprar
PRIVATESHOPSEARCH_COUNT	Quantidade
PRIVATESHOPSEARCH_ITEMNAME	Itens Nome
PRIVATESHOPSEARCH_ITEMTYPE	Itens
PRIVATESHOPSEARCH_JOB	Classe
PRIVATESHOPSEARCH_LEVEL	Nível
PRIVATESHOPSEARCH_PRICE	Preço
PRIVATESHOPSEARCH_REFINE	Nível do Item
PRIVATESHOPSEARCH_SEARCH	Buscar
PRIVATESHOPSEARCH_SEARCH_BAR	Busca
PRIVATESHOPSEARCH_SELECT	Selecionar
PRIVATESHOPSEARCH_SELLER	Vendedor
PET_NAME_CHANGE_BUTTON	petnamechangebutton
RESTART_IMMEDIATE	restart_immediate
PET_NAME_CHANGE_WINDOW_TITLE	change_petname
HELP_KEYSETTING	- Você pode definir a tecla de atalho em 'Teclas de Atalho', no menu opções.
HELP_CLICK_OTHER_PLAYER	- Você pode iniciar uma negociação, grupo ou duelo ao clicar com o botão direito em personagens.
HELP_MINIMAP_QUEST	- Você pode iniciar a quest ao ir ao ponto piscante no mini mapa.
HELP_EMOTINO	- Você pode expressar suas emoções com as teclas <Ctrl> + <1~9>.
HELP_OFF_QUESTSCROLL	- Você esconder os pergaminhos de quest com as teclas <Ctrl> + Q.
HELP_CHAT	- Você pode conversar com grupo específicos digitando !(shout), $(party) ou %(guild) na janela do chat.
HELP_HELP_KEY	- Mas a página de ajuda mostra a informação sobre as teclas de atalho padrões.
HELP_SERVER	- Exibe o servidor e o canal
HELP_MINIMAP	- Exibe o mini mapa
HELP_ATTACK	Ataque
HELP_AUTO_ATTACK	Ataque Automático
HELP_CAMERA	Mudar visão de câmera
HELP_SKILL	Habilidade
OPTION_KEY_SETTING	Atalhos
OPTION_SETTING	Definir
KEYCHANGE_KEY_SETTING	Definir Teclas de Atalho
KEYCHANGE_BASEACTION	Ações
KEYCHANGE_SLOT_KET	Tecla de Slot
KEYCHANGE_INTERFACE	Interface
KEYCHANGE_CLEAR	Limpar
KEYCHANGE_SAVE	Salvar
KEYCHANGE_CANCLE	Cancelar
KEYCHANGE_UP1	Frente1
KEYCHANGE_DOWN1	Trás1
KEYCHANGE_LEFT1	Esquerda1
KEYCHANGE_RIGHT1	Direita1
KEYCHANGE_CAM_RIGHT1	CamDireita1
KEYCHANGE_CAM_LEFT1	CamEsquerda1
KEYCHANGE_CAM_ZOOM_IN1	CamZoomIn1
KEYCHANGE_CAM_ZOOM_OUT1	CamZoomOut1
KEYCHANGE_CAM_DOWN1	CamBaixo1
KEYCHANGE_CAM_UP1	CamCima1
KEYCHANGE_ROOT1	Apanhar1
KEYCHANGE_ATTACK	Ataque
KEYCHANGE_RIDE_HORSE	Montar Cavalo
KEYCHANGE_RIDE_PEED	Alimentar Cavalo
KEYCHANGE_EMOTION1	Emoção1
KEYCHANGE_EMOTION2	Emoção2
KEYCHANGE_EMOTION3	Emoção3
KEYCHANGE_EMOTION4	Emoção4
KEYCHANGE_AUTORUN	Corrida Auto
KEYCHANGE_UP2	Frente2
KEYCHANGE_DOWN2	Trás2
KEYCHANGE_LEFT2	Esquerda2
KEYCHANGE_RIGHT2	Direita2
KEYCHANGE_CAM_RIGHT2	CamDireita2
KEYCHANGE_CAM_LEFT2	CamEsquerda2
KEYCHANGE_CAM_ZOOM_IN2	CamZoomIn2
KEYCHANGE_CAM_ZOOM_OUT2	CamZoomOut2
KEYCHANGE_CAM_DOWN2	CamBaixo2
KEYCHANGE_CAM_UP2	CamCima2
KEYCHANGE_ROOT2	Apanhar2
KEYCHANGE_RIDE	Montar	
KEYCHANGE_RIDE_BYE	Retornar Cavalo
KEYCHANGE_EMOTION5	Emoção5
KEYCHANGE_EMOTION6	Emoção6
KEYCHANGE_EMOTION7	Emoção7
KEYCHANGE_EMOTION8	Emoção8
KEYCHANGE_EMOTION9	Emoção9
KEYCHANGE_NEXT_TARGET	Próximo Alvo
KEYCHANGE_SLOT1	Slot1
KEYCHANGE_SLOT2	Slot2
KEYCHANGE_SLOT3	Slot3
KEYCHANGE_SLOT4	Slot4
KEYCHANGE_SLOT5	Slot5
KEYCHANGE_SLOT6	Slot6
KEYCHANGE_SLOT7	Slot7
KEYCHANGE_SLOT8	Slot8
KEYCHANGE_QUICKSLOT1	Trocar Slot1
KEYCHANGE_QUICKSLOT2	Trocar Slot2
KEYCHANGE_QUICKSLOT3	Trocar Slot3
KEYCHANGE_QUICKSLOT4	Trocar Slot4
KEYCHANGE_STATUS_WINDOW	Status
KEYCHANGE_SKILL_WINDOW	Habilidades
KEYCHANGE_QUEST_WINDOW	Quests
KEYCHANGE_INVENTORY_WINDOW	Inventário
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_MINIMAP_WINDOW	Mini-mapa
KEYCHANGE_CHAT_WINDOW	Chat
KEYCHANGE_QUEST_SCROLL_ONOFF	Scroll
KEYCHANGE_GUILD_WINDOW	Guilda
KEYCHANGE_MESSENGER_WINDOW	Contatos
KEYCHANGE_HELP_WINDOW	Ajuda
KEYCHANGE_ACTION_WINDOW	Ação
KEYCHANGE_MINIMAP_PLUS	Mini-mapa+
KEYCHANGE_MINIMAP_MINER	Mini-mapa-
KEYCHANGE_SCREENSHOT	ScreenShot
KEYCHANGE_SHOW_NAME	Exibir Nome
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_AUTO_WINDOW	Auto
INVENTORY_PAGE_BUTTON_TOOLTIP_3	Inventário III
INVENTORY_PAGE_BUTTON_TOOLTIP_4	Inventário IIII
AUTO_TITLE	Automático
AUTO_SKILL_SETTING	Habilidade
AUTO_POTION_SETTING	Poção
AUTO_POSITION_SETTING	Poção
AUTO_SETTING	Configuração
AUTO_AUTO_ATTACK	Ataque 
AUTO_AUTO_SKILL	Habilidade
AUTO_AUTO_POTION	Poção Auto
AUTO_AUTO_POSITION	Poção
AUTO_AUTO_RANGE	Alcance Auto
AUTO_AUTO_RESTART	Ressuscitar Auto
AUTO_SAVE	Salvar
AUTO_START	Iniciar
AUTO_END	Finalizar
AUTO_CLEAR	Limpar
AUTO_ON	On
AUTO_OFF	Off
BANNER_FISH_BUTTON	Pesca
MINI_GAME_FISH_TITLE	Evento de Pesca
MINI_GAME_FISH_START_TEXT	Iniciar
MINI_GAME_FISH_HELP_TEXT	Ajuda
MINIGAME_FISH_EVENT_USE_COUNT	Número Usado
GUILD_WAR_WIN	Vença os jogos
GUILD_WAR_WIN_ONE	Uma vitória
GUILD_WAR_WIN_THREE	Melhor de três
GUILD_WAR_WIN_FIVE	Melhor de cinco
GUILD_WAR_GAINSCORE	Placar
GUILD_WAR_GAINSCORE_THIRTY	30 pontos
GUILD_WAR_GAINSCORE_FIFTY	50 pontos
GUILD_WAR_GAINSCORE_HUNDRED	100 pontos
GUILD_WAR_GAMETIME	Tempo de batalha
GUILD_WAR_GAMETIME_TEN	10 minutos
GUILD_WAR_GAMETIME_THIRTY	30 minutos
GUILD_WAR_GAMETIME_SIXTY	60 minutos
GUILD_WAR_JOINMEMBER	Membros
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_COUNT	Membros
GUILD_WAR_TYPE_NORMAL	Batalha Campal
GUILD_WAR_TYPE_FLAG	Batalha da Bandeira
GUILD_WAR_TYPE_DIE	Batalha de Arena
GUILD_WAR_TYPE_DEFENSE	Guerra do Escudo
GUILD_WAR_TYPE_TIME	Time-Attack
GUILD_WAR_TYPE_TIGER	Aniquilação
GUILD_WAR_REPORT	Registros das Guerras de Guilda
GUILD_WAR_ALLSCORE	Registros de Todos Placares
GUILD_WAR_REPORTLIST	Registros (Guerra / Vitória / Derrota / Empate)
GUILD_WAR_SKILL	Habilidade de Guilda
GUILD_WAR_SCORE	Placar da Guerra de Guilda
GUILD_BASEINFO_TITLE	Informação do Terreno
GUILD_BASEINFO_LOCALE	Localização do Terreno
GUILD_BASEINFO_BUILDING	Prédios da Guilda
GUILD_BASEINFO_POWER	Altar do Poder
GUILD_BASEINFO_SMEITER	Fornalha da Guilda
GUILD_BASEINFO_FACTORY	Forja da Guilda
GUILD_BASEINFO_BANK	Banco da Guilda
GUILD_BASEINFO_LANDSCAPE	Paisagem
GUILD_BASEINFO_MONEYBANKINFO	Status do Banco da Guilda
GUILD_BASEINFO_MONEY	Dinheiro da Guilda
GUILD_BASEINFO_MONEYLASTOUT	Última retirada
GUILD_BASEINFO_BANKLASTOUT	Último usuário
GUILD_BASEINFO_GUILDLAND	Terreno da Guilda
GUILD_SKILLPAGE_LADDER	Ponto de Ranking
GUILD_SKILLPAGE_RANK	Rank
GUILD_BANK_INFO	Checar informação
GUILD_BANK_CLOSE	Fechar
GUILD_BANKINFO_TITLE	Informação do Banco da Guilda
GUILD_BANKINFO_NAME	Nome
GUILD_BANKINFO_TYPE	Item,Gold
GUILD_BANKINFO_USETYPE	Usar
GUILD_BANKINFO_CLOSE	Fechar
GUILD_DRAGONLAIR_RANKING	Ranking de Guildas
GUILD_DRAGONLAIR_RANKING_COUNT	Ranking
GUILD_DRAGONLAIR_RANKING_NAME	Guilda
GUILD_DRAGONLAIR_RANKING_MEMBER	Membros
GUILD_DRAGONLAIR_RANKING_TIME	Conclusão
GUILD_MEMBER_VOTE_CHECK	ChecarVotos
GUILD_BUILDING_FIX	Realocar
GUILD_BUILDING_CHANGE_FIX	Reparar Objeto da Guilda
GUILD_BUILDING_CHANGE_LIST	Lista de Objetos da Guilda
GUILD_BUILDING_CHANGE_DELETE	Excluir
GAME_GUILD_WAR_JOIN	EntrarGuerraGuilda
GUILDWINDOW_BASE_BUFF	Benefícios da Guilda
GUILD_WAR_SKILL	Habilidade de Guilda & Registro
GUILD_GRADE_PERMISSION_DELETE	Expulsar
GUILD_GRADE_PERMISSION_JOIN	Juntar
GUILD_GRADE_PERMISSION_NOTICE	Nota
GUILD_GRADE_PERMISSION_SKILL	Habilidades
GUILD_GRADE_PERMISSION_WAR	Guerra
GUILD_GRADE_PERMISSION_BANK	Banco
GUILD_MEMBER_OUT_TITLEBAR	Expulsar
GUILD_MASTER_CHANGE_TITLEBAR	Mudar Líder	
OPPOSITES	Discordar
BANNER_MONSTERBACK_BUTTON	Evento de Páscoa: O Retorno
STRUCTURE_VIEW_MODE	Esconder
STRUCTURE_VIEW_TYPE_STRUCTURE	Estruturas
KEYCHANGE_MONSTER_CARD_WINDOW	Cartas de Monstro
MC_TAB_BUTTON_CARD_MISSION	Cartas de Missão
MC_TAB_BUTTON_SOLO	Coleção do Mapa
MC_TAB_BUTTON_PARTY	Coleção de Dungeons
MC_TAB_BUTTON_ACHIEV	Livro de Conquistas
MC_REQUEST_MISSION_BUTTON	Receber Missão
MC_SHUFFLE_BUTTON	Reiniciar Cartas de Missão
MC_REWARD_CARD_BUTTON	Receber Recompensa
MC_MISSION_INIT_BUTTON	Resetar Missão
MC_PROMOTION_BUTTON	Promover
