10955	Pingente do Fogo+10	Não pode ser refinado ou negociado.
10956	Pingente do Gelo+10	Não pode ser refinado ou negociado.
10957	Pingente do Vento+10	Não pode ser refinado ou negociado.
10958	Pingente do Trovão+10	Não pode ser refinado ou negociado.
10959	Pingente da Terra+10	Não pode ser refinado ou negociado.
10960	Pingente das Trevas+10	Não pode ser refinado ou negociado.
21366	Serpente Maligna (molde)	Material usado para manufaturar Manto da Serpente Maligna.	
21370	Manto Serpente Divina+0		
21371	Manto Serpente Divina+1		
21372	Manto Serpente Divina+2		
21373	Manto Serpente Divina+3		
21374	Manto Serpente Divina+4		
21375	Manto Serpente Divina+5		
21376	Manto Serpente Divina+6		
21377	Manto Serpente Divina+7		
21378	Manto Serpente Divina+8		
21379	Manto Serpente Divina+9		
21380	Manto Serpente Divina+10		
21381	Manto Serpente Divina+11		
21382	Manto Serpente Divina+12		
21383	Manto Serpente Divina+13		
21384	Manto Serpente Divina+14		
21385	Manto Serpente Divina+15		
21386	Serpente Divina (molde)	Material usado para manufaturar Manto da Serpente Divina.	
21390	Manto Serpente Celeste+0		
21391	Manto Serpente Celeste+1		
21392	Manto Serpente Celeste+2		
21393	Manto Serpente Celeste+3		
21394	Manto Serpente Celeste+4		
21395	Manto Serpente Celeste+5		
21396	Manto Serpente Celeste+6		
21397	Manto Serpente Celeste+7		
21398	Manto Serpente Celeste+8		
21399	Manto Serpente Celeste+9		
21400	Manto Serpen. Celeste+10		
21401	Manto Serpen. Celeste+11		
21402	Manto Serpen. Celeste+12		
21403	Manto Serpen. Celeste+13		
21404	Manto Serpen. Celeste+14		
21405	Manto Serpen. Celeste+15		
21406	Serpente Celeste (molde)	Material usado para manufaturar Manto da Serpente Celeste.	
22000	Pergaminho de Retorno a Vila	Teleporte para o vilarejo.	
22010	Pergaminho de Retorno	Teleporte para o local marcado.	
25040	Pergaminho da Benção	O item não quebra caso ocorra falha no refinamento, porém diminui um nível.	
25041	Metal Mágico+	Com a ajuda do Ferreiro, o item não quebra caso ocorra falha na refinação.	
25042	Pedra do Ritual	Uma brilhante pedra mística que fornece uma chance maior de refinar um item. O item a ser refinado não será destruído ou perderá refinação. Essa pedra pode ser usada apenas em itens de nível 80 ou superior.	
25043	Selo do Deus Dragão	Aumenta a chance de sucesso ao refinar itens. O item a ser refinado não será destruído ou terá refinação reduzida em caso de falha. | Para usá-lo, arraste-o até o item que deseja refinar. | Sem restrição de nível.	
25100	pergaminho da pedra espiritual	Remove as Gemas dos Slots do acessório.	
25101	Pedaço de Bolo	Aumenta a taxa de experiência recebida em 100%	
25121	Amaranto	Pode aumentar a chance de ataque crítico ao ser usada	
25122	Flor Cônica	Pode aumentar o ataque ao ser usada	
25123	Narciso	Pode aumentar a taxa de experiência adquirida ao ser usada	
25124	Lírio	Pode aumentar a taxa de drop ao ser usada	
25125	Girassol	Pode aumentar a defesa ao ser usada	
25126	Semente de Amaranto	Um Baú de Amaranto pode ser trocado por 10 Sementes de Amaranto!	
25127	Semente de Flor Cônica	Um Baú de Flor Cônica pode ser trocado por 10 Sementes de Flor Cônica!	
25128	Semente de Narciso	Um Baú de Narciso pode ser trocado por 10 Sementes de Narciso!	
25129	Semente de Lírio	Um Baú de Lírio pode ser trocado por 10 Sementes de Lírio!	
25130	Semente de Girassol	Um Baú de Girassol pode ser trocado por 10 Sementes de Girassol!	
27125	Poção de Batalha	HP +50000, Aumenta o Atk e a Def	
27126	Poção Especial da Meley	Pode ser usada apenas no Covil de Meley	| Resistência a dano básico +15% | Resistência a skill +15%
27128	Bônus de Yutnori	 +20% EXP +5% DROP +10% Bônus contra Monstros	
27213	Poção de Sung Ma (FOR)	Poção que aumenta Ímpeto de Sung Ma (FOR) em +5	
27214	Poção de Sung Ma (VIT)	Poção que aumenta Ímpeto de Sung Ma (VIT) em +5	
27215	Poção de Sung Ma (RES)	Poção que aumenta Ímpeto de Sung Ma (RES) em +5	
27216	Poção de Sung Ma (INT)	Poção que aumenta Ímpeto de Sung Ma (INT) em +5	
27600	Fogueira	Use para cozinhar peixes.	
27610	Manual de Pesca	Aumenta em 2% a chance de pescar um peixe melhor.	
27620	Pesca Ilustrada	Livro contendo uma vasta informação sobre Peixes, te ajuda a ter maior sucesso em sua pescaria.	
27621	Haste	Material para criação da Vara do Duque Jiang	
27622	Passadores	Material para criação da Vara do Duque Jiang	
27623	Cabo	Material para criação da Vara do Duque Jiang	
27624	Fibra de Carbono	Material para criação da Vara do Duque Jiang	
27798	Camarão de Água Doce	Isca para um grande peixe.	
27799	Espinha de Peixe	Carcaça de peixe, serve como isca.	
27800	Isca de Bolinho de Arroz	Os peixes não resistem a essa isca.	
27801	Minhoca	Comida preferida dos peixes.	
27802	Isca de Peixe	Um pequeno peixe usado para fisgar maiores.	
27803	Crucian	Estão por toda parte, fácil de capturar.	
27804	Peixe Mandarin	Peixe delicioso.	
27805	Crucian Grande	Eles são grandes.	
27806	Carpa	Eles são razoavelmente raros.	
27807	Salmão	O sashimi de salmão é muito popular no Japão.	
27808	Carpa Capim	Só aparecem em algumas épocas do ano.	
27809	Truta Ribeirinha	Eles geralmente são encontrados nas margens superiores dos rios.	
27810	Enguia	Eles são muito nutritivos.	
27811	Truta Arco-Íris	Os seus corpos são brilhantes como o arco-íris.	
27812	Truta de Rio	Eles são encontrados nos rios.	
27813	Escardin		
27814	Perca	As pessoas o chamam de dragão dos rios.	
27815	Tinca	Eles vivem em águas claras.	
27816	Peixe-Gato	As pessoas adoram a sua sopa.	
27817	Bótia	Um peixe liso, difícil de capturar.	
27818	Peixe Lótus	Animal de hábito onívoro.	
27819	Peixe Doce	Pode ser encontrado nos oceanos.	
27820	Peixe Rei	Pode ser encontrados nos rios gelados.	
27821	Shiri	Um peixe muito bonito.	
27822	Carpa Espelhada	Apreciado por não conter muitos espinhos.	
27823	Crucian Dourado	A cor de seu corpo é dourada como ouro.	
27824	Peixe Cabeça-de-Cobra	Conhecido como o rei da água doce.	
27825	Skygazer	Um peixe que vive apenas em rios.	
27826	Caranguejo-Real	Encontrado em águas cristalinas.	
27833	Crucian Cru	Pode ser preparado em uma fogueira.	
27834	Peixe Mandarin Cru	Pode ser preparado em uma fogueira.	
27835	Crucian Grande Cru	Pode ser preparado em uma fogueira.	
27836	Carpa Crua	Pode ser preparado em uma fogueira.	
27837	Salmão Cru	Pode ser preparado em uma fogueira.	
27838	Carpa Capim Crua	Pode ser preparado em uma fogueira.	
27839	Truta Ribeirinha Crua	Pode ser preparado em uma fogueira.	
27840	Enguia Crua	Pode ser preparado em uma fogueira.	
27841	Truta Arco-Íris Crua	Pode ser preparado em uma fogueira.	
27842	Truta de Rio Crua	Pode ser preparado em uma fogueira.	
27843	Escardin Cru	Pode ser preparado em uma fogueira.	
27844	Perca Crua	Pode ser preparado em uma fogueira.	
27845	Tinca Crua	Pode ser preparado em uma fogueira.	
27846	Peixe-Gato Cru	Pode ser preparado em uma fogueira.	
27847	Bótia Crua	Pode ser preparado em uma fogueira.	
27848	Peixe Lótus Cru	Pode ser preparado em uma fogueira.	
27849	Peixe Doce Cru	Pode ser preparado em uma fogueira.	
27850	Peixe Rei Cru	Pode ser preparado em uma fogueira.	
27851	Shiri Cru	Pode ser preparado em uma fogueira.	
27852	Carpa Espelhada Crua	Pode ser preparado em uma fogueira.	
27853	Crucian Dourado Cru	Pode ser preparado em uma fogueira.	
27854	Peixe Cabeça-de-Cobra Cru	Peixe Cabeça-de-Cobra cru| É possível cozinhá-lo na fogueira.	
27855	Skygazer Cru	Skygazer cru| É possível cozinhá-lo na fogueira.	
27856	Caranguejo-Real Cru	Caranguejo-Real cru| É possível cozinhá-lo na fogueira.	
27863	Crucian Grelhado	Recupera 180 HP	
27864	Peixe Mandarin Grelhado	Recupera 180 MP	
27865	Crucian Grande Grelhado	Recupera 350 HP	
27866	Carpa Grelhada	Aumenta a velocidade de Movimento em 20% por 10 minutos.	
27867	Salmão Grelhado	Recupera 350 MP	
27868	Carpa Capim Grelhada	Aumenta a velocidade de ataque em 20% por 10 minutos.	
27869	Truta Ribeirinha Grelhada	Recupera 600 HP	
27870	Enguia Grelhada	Aumenta sua Força em 10 pontos por 10 minutos.	
27871	Truta Arco-Iris Grelhada	Recupera 600 MP	
27872	Truta de Rio Grelhada	Recupera 230 MP instantaneamente.	
27873	Escardin Grelhado	Aumenta sua Agilidade em 10 pontos por 10 minutos.	
27874	Perca Grelhada	Retira feitiços negativos do seu personagem.	
27875	Tinca Grelhada	Recupera 230 HP instantaneamGte.	
27876	Peixe-Gato Grelhado	Recupera 500 MP instantaneamente.	
27877	Bótia Grelhada	Invisibilidade por 5 minutos.	
27878	Peixe Lótus Grelhado	Recupera 500 HP instantaneamente.	
27879	Peixe Doce Grelhado	EXP +10% (30 min)	
27880	Peixe Rei Grelhado	Dano contra monstro +5% (10 min)	
27881	Shiri Grelhado	Ataque +3% (10 min)	
27882	Carpa Espelhada Grelhado	Recupera 1000 de HP ao usar	
27883	Crucian Dourado Grelhado	EXP +50% (30 min)	
27884	Cabeça-de-Cobra Grelhado	Resistência contra terra +10% (10 min)	
27885	Skygazer Grelhado	Resistência contra gelo +10% (10 min)	
27886	Caranguejo-Real Grelhado	Resistência contra trevas +10% (10 min)	
27887	Lagostim Grelhado	EXP +100% (30 min)	
27987	Marisco	Chance de encontrar uma perola em seu interior.	
27988	Mapa do Tesouro	Antigo mapa do tesouro.	
27989	Detector de Gemas	Detecta a localização das Gemas.	
27990	Lasca de Pedra		
27992	Pérola Branca	Jóia	
27993	Pérola Azul	Jóia	
27994	Pérola Escarlate	Jóia	
27998	Bolsa de Alquimia	Contém uma receita de alquimía.	
27999	Bolsa de Gemas	Bolsa de Gemas.	
28046	Joia Demoníaca+0	Adiciona um bônus de Sung Ma aleatório.	
28047	Joia Demoníaca Intensa+0	Adiciona um bônus de Sung Ma aleatório. | Chance de duplicar o bônus.	
28146	Joia Demoníaca+1	Adiciona um bônus de Sung Ma aleatório.	
28147	Joia Demoníaca Intensa+1	Adiciona um bônus de Sung Ma aleatório. | Chance de duplicar o bônus.	
28246	Joia Demoníaca+2	Adiciona um bônus de Sung Ma aleatório.	
28247	Joia Demoníaca Intensa+2	Adiciona um bônus de Sung Ma aleatório. | Chance de duplicar o bônus.	
28346	Joia Demoníaca+3	Adiciona um bônus de Sung Ma aleatório.	
28347	Joia Demoníaca Intensa+3	Adiciona um bônus de Sung Ma aleatório. | Chance de duplicar o bônus.	
28446	Joia Demoníaca+4	Adiciona um bônus de Sung Ma aleatório.	
28447	Joia Demoníaca Intensa+4	Adiciona um bônus de Sung Ma aleatório. | Chance de duplicar o bônus.	
30000	Cevada	Alimento básico, pode ser utilizado para a fabricação de bebidas.	
30001	Carta	Carta enviada para alguém.	
30002	Salsicha Frita	Comida apimentada.	
30003	Focinho de Porco	Dizem que pode trazer sorte (usado para refinação).	
30004	Presa de Javali	Bastante resistente (usado para refinação).	
30005	Lasca de Armadura	Lasca retirada de uma armadura antiga (usado para refinação).	
30006	Dente de Orc	Dente de Orc, está bem desgastado (usado para refinação).	
30007	Amuleto Orc	Dizem que esse amuleto aumenta a força dos Orcs (usado para refinação).	
30008	Dogmas do Culto Secreto	Documento de iniciação sobre o Culto Secreto (usado para refinação).	
30009	Remédio Desconhecido	Medicamento com ingrediente desconhecido (usado para refinação).	
30010	Bílis de Urso	Dizem que pode curar as pessoas que perderam o paladar (usado para refinação).	
30011	Novelo	Uma bola feita de fibras vegetais.	
30012	Garrafa de Vinho	Garrafa que exala um delicioso aroma de vinho.	
30013	Jarro de Bebida	Usado para servir bebidas.	
30014	Pêlo de Yeti	Grande proteção contra o frio por pertencer aos lendários Yetis (usado para refinação).	
30015	Lembrança Demoníaca	Cuidado, diz a lenda que quem o possui pode ter muito azar (usado para refinação).	
30016	Gema Demoníaca	Uma Gema perigosa, guarda dentro dela espíritos malignos (usado para refinação).	
30017	Presilha Ornamental	Usada para prender cabelos (usado para refinação).	
30018	Laço Vermelho	Muito comum para decorar cabelos com rabo-de-cavalo (usado para refinação).	
30019	Cachos-Flamejantes	Pode ser usado para a confecção de roupas, lhe aquece e ameniza o inverno (usado para refinação).	
30020	Avelã	Usada antigamente para tratamentos de beleza.	
30021	Pedaço de Gema	Um pedaço de Gema misterioso, em formato de castanha (usado para refinação).	
30022	Cauda de Cobra	Cauda de serpente, faz um barulho peculiar (usado para refinação).	
30023	Listras de Tigre Branco	Essa pele de animal é muito popular, usada como adorno (usado para refinação).	
30024	Rabo de Cavalo	Pode ser utilizado para se fazer pincéis e chapéus.	
30025	Bolsa Venenosa de Aranha	Bolsa interna onde as aranhas guardam seu poderoso veneno (usado para refinação).	
30026	Intestino de Lobo	Ingrediente usado na fabricação de um tipo muito popular de lingüiça no oriente (usado para refinação).	
30027	Pêlo de Lobo	Utilizado na fabricação de escovas para cabelo (usado para refinação).	
30028	Garra de Lobo	Extremamente afiada, é usada como ornamento (usado para refinação).	
30029	Fígado de Lobo	Ingrediente usado na fabricação de um tipo muito popular de lingüiça no oriente (usado para refinação).	
30030	Lâmina Enferrujada	Lâmina muito antiga, enferrujada com o tempo (usado para refinação).	
30031	Brinquedo	Antigo brinquedo para meninas, também usado como ornamento (usado para refinação).	
30032	Uniforme Antigo	Antigo uniforme negro para realização de artes marciais, desgastado com o tempo (usado para refinação).	
30033	Porcelana Quebrada	Um pedaço de um antigo vaso chinês quebrado (usado para refinação).	
30034	Laços Brancos	Muito comum para decorar cabelos com rabo-de-cavalo (usado para refinação).	
30035	Creme Facial	Uma antiga receita de cosmético, muito apreciado pelas mulheres (usado para refinação).	
30036	Erva Mística	Dizem que esta erva possui um efeito místico (usado para refinação).	
30037	Garra de Tigre	Usado com orgulho pelos caçadores que abatem um tigre (usado para refinação).	
30038	Listras de Tigre	Essa pele de animal é muito popular, usada como adorno (usado para refinação).	
30039	Pedaço de Tecido	Um pedaço de tecido retirado de alguma vestimenta, também usado para cobrir ferimentos em soldados (usado para refinação).	
30040	Folha	Uma folha nova de uma árvore desconhecida (usado para refinação).	
30041	Shuriken	Arremessado corretamente, pode ser fatal (usado para refinação).	
30042	Presas de Tigre Lutador	Presa de tigre, extremamente afiada (usado para refinação).	
30043	Feijão	Rico em proteinas, esse grão pode ser cozinhado e é delicioso.	
30044	Argila	Tipo de barro usado na fabricação de vasos chineses.	
30045	Ferrão de Escorpião	Através do ferrão o escorpião aplica seu veneno em suas vítimas (usado para refinação).	
30046	Cauda de Escorpião	É onde o escorpião guarda todo o veneno (usado para refinação).	
30047	Livro de Maldições	Antigo livro com linguas perdidas e simbolos que dizem ensinar maldições (usado para refinação).	
30048	Fragmento de Gelo	Um pedaço de gelo que esfria o ar até mesmo no mais quente verão (usado para refinação).	
30049	Chifre de Orca do Gelo	Famosa ferramenta de esculpir (usado para refinação).	
30050	Esfera de Gelo	Feito de gelo, possuí uma propriedade mágica que lhe impede de derreter (usado para refinação).	
30051	Talismã Desconhecido	Antigo talismã, somente o Lider dos Fanáticos pode usar seu poder (usado para refinação).	
30052	Bandeira	Bandeira usada pelos selvagens em suas guerras (usado para refinação).	
30053	Pata de Urso	Dizem que é um ingrediente para cozinhar extremamente saboroso (usado para refinação).	
30054	Anel Precioso	Um anel feito de ouro.	
30055	Garra de Escorpião	As pinças de ataque do escorpiam, são muito afiadas (usado para refinação).	
30056	Teia de Aranha	Material extremamente resistente, lançado pelas aranhas para locomoção ou captura (usado para refinação).	
30057	Olhos de Aranha	Apesar de pequenos eram muito desejados por colecionadores (usado para refinação).	
30058	Bolsa de Ovos de Aranha	É usado por mulheres supersticiosas que desejam ter um filho logo (usado para refinação).	
30059	Patas de Aranha	Cheias de pêlos de aranha, agem como um talismã (usado para refinação).	
30060	Língua de Sapo	Comprida e pegajosa (usado para refinação).	
30061	Pata de Sapo	Um ingrediente muito raro para pratos exóticos (usado para refinação).	
30062	Frasco de Remédio	Onde se guardam os remédios vendidos pelos alquimistas (usado para refinação).	
30063	Remédio de Pele	Medicamento para problemas de pele (usado para refinação).	
30064	Pedra Afiada	Ferramenta antiga para se fabricar flechas (usado para refinação).	
30065	Sino	Tem o som bem agudo de um pequeno sino.	
30066	Pimenta	Pimenta bem forte (usado para refinação).	
30067	Pele de Cobra	Pele retirada da cobra, gelada e maleável (usado para refinação).	
30068	Carne de Soja	Feito de tofu (queijo de soja).	
30069	Garra de Lobo Ancião	Extremamente afiada, é usada como ornamento (usado para refinação).	
30070	Pêlo de Lobo Ancião	Utilizado na fabricação de escovas para cabelo (usado para refinação).	
30071	Bílis de Urso	Dizem que com ele pode-se recuperar a visão de um cego (necessário refinar)	
30072	Pata de Urso+	Um ítem procuradíssimo, por ser um alimento que proporciona alta resistência (necessário refinar)	
30073	Laços Brancos+	Laço utilizado para  trançar o cabelo.(necessário refinar)	
30074	Uniforme Antigo+	vestimenta utilizada pelas guildas (X). Parece desgastado (necessário refinar)	
30075	Shuriken+	Arma de arremesso, utilizado para ataques silenciosos (necessário refinar)	
30076	Amuleto Orc+		
30077	Dente de Orc+		
30078	Dogmas do Culto Secreto+	Documento para iniciante contendo as dogmas da Religião Secreta (Necessita refinação)	
30079	Talismã Desconhecido+	Talismã com uma inscrição. Apenas os membros da Religião Secreta poderão reconhecer. (necessário refinar)	
30080	Livro de Maldições+	Livro da Religião Secreta utilizado para amaldiçoar o oponente. (necessário refinar)	
30081	Rabo de Escorpião+	Rabo de Escorpião. Dizem que possui veneno. (necessário refinar)	
30082	Rabo de Cobra+	Rabo de Cobra. Faz barulho ao chacoalhar. (necessário refinar)	
30083	Remédio Desconhecido+	Remédio de composição desconhecida, uma esfera feita de gelo que não derrete mesmo com intenso calor (necessário refinar)	
30084	Talismã Desconhecido+	Talismã contendo alguma inscrição. Apenas os membros da Religião Secreta poderá reconhecer. (Necessita refinação)	
30085	Pedaço de Tecido+		
30086	Lembrança Demoníaca+	Irá atrair o azar.	
30087	Gema Demoníaca+		
30088	Fragmento de Gelo+		
30089	Pêlo de Yeti+		
30090	Esfera de Gelo+		
30091	Símbolo do Guerreiro	Somente os guerreiros lendários possuem (usado para refinação).	
30092	Tesouro Selvagem	Recompensa pela vitória sobre os selvagens (usado para refinação).	
30093	Bolsa da Sorte	Uma Bolsa de Seda que parece conter objetos valiosos	
30094	Bolsa da Sorte	Uma Bolsa de Seda que parece conter objetos valiosos	
30095	Bolsa da Sorte	Uma Bolsa de Seda que parece conter objetos valiosos	
30096	Bolsa da Sorte	Uma Bolsa de Seda que parece conter objetos valiosos	
30129	Informação Secreta	Documento que contém instruções secretas do exército.	
30130	Garrafa Vazia	Pode ser usada para guardar vários tipos de líquido.	
30131	Carta do Ferreiro	Carta com instruções do Ferreiro para o Lenhador.	
30132	Livro do Sábio	O livro favorito do sábio, contém informações sobre a cultura oriental.	
30133	Sapatos do Vendedor	Um sapato bonito e novo.	
30134	Sacola do Sábio	Sacola onde o Sábio guarda vários livros.	
30135	Carta da Ariyoung	Uma carta destinada a Ariyoung.	
30136	Arco Dourado	Lendário arco místico, desejado por todos os caçadores.	
30137	Sangue de Macaco	Sangue extraído de um macaco, tem um cheiro forte e azedo.	
30138	Plasticina	Material ilegal encontrado nos desertos, tem propriedades medicinais.	
30139	Dente Maligno	Usado como material para acessórios, esse pequeno dente tem um cheiro muito ruim.	
30140	Linha	Material para fabricação de roupas, as deixando mais resistentes.	
30141	Pedra Material	Material para fabricação de jóias.	
30142	Carta	Uma carta selada com algo escrito. Os mais curiosos podem querer ler seu conteúdo.	
30143	Erva Medicinal	Utilizada como remédio contra várias doenças.	
30144	Fígado de Tigre	Dizem que, se preparado corretamente, pode melhorar a Resistência de quem o consome.	
30145	Erva de Balso	O medicamento para os pés do Balso, o traidor.	
30146	Gelo	Um pedaço de gelo normalmente usado para criar sobremesas.	
30147	Princípios Fanáticos	Livro com detalhes dos dogmas do Culto Secreto.	
30148	Símbolo Fanático	Simbólo que marca os cultistas Fanáticos.	
30149	Raspas de Gelo	As comidas feitas com as raspas de gelo e alguns ingredientes fornecem um sabor refrescante no verão	
30150	Folha de Antigo Diário	Página de um antigo diário com anotações de coordenadas.	
30151	Felpa de Lobo	Corte de pelo macio de lobo, usado para a fabricação de espanadores.	
30152	Poção de Zumbi	Dizem possuir propriedades de cura para doenças desconhecidas. Não teve ainda sua eficácia comprovada.	
30153	Flor	Possui um odor agradável.	
30154	Sutra Fanático	Anotações sobre como derrotar um Fanático Lider.	
30155	Pingente da Mirine	Pode ser usado como um pingente para colar. Na parte de dentro está escrito o nome Mirine.	
30156	Estudo do Culto Secreto	Várias anotações sobre o Culto Secreto, sua formação, seus principios e sua história.	
30210	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30211	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30212	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30213	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30214	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30215	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30216	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30217	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30218	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30219	Pedaço de Pérola	Pedaço de Pedra, parece azulado quando recebe um feixe de luz.	
30220	Pedra da Alma Orc	Pedra lendária. Dizem que contém a alma de um Orc.	
30221	Pedra da Alma Fanática	Pedra lendária. Dizem que contém a alma de um Fanático.	
30222	Pedra da Alma Demoníaca	Pedra lendária. Dizem que contém a alma de um Demônio.	
30223	Pedra da Alma Gelada	Pedra lendária. Dizem que contém a alma de um monstro do Gelo.	
30224	Pedra da Alma Fantasma	Pedra lendária. Dizem que contém a alma de um Fantasma.	
30225	Pedra da Alma Gigante	Pedra lendária. Dizem que contém a alma de um Gigante.	
30255	Espírito da Arma	Usado para adicionar bônus em relíquia ou estender sua duração.	
30256	Espírito da Armadura	Usado para adicionar bônus em relíquia ou estender sua duração.	
30257	Espírito das Joias	Usado para adicionar bônus em relíquia ou estender sua duração.	
30258	Espírito dos Elementos	Usado para adicionar bônus em relíquia ou estender sua duração.	
30259	Frag. Espírito da Arma		
30260	Frag. Espírito da Armad.		
30261	Frag. Espírito das Joias		
30262	Frag. Espírito dos Elem.		
30263	Frag. Espírito da Relíq.		
30264	Medicação	Medicamento para curar os aldeões.	
30265	Fragmento da Medalha  (A)	1 fragmento de 5 partes.	
30266	Fragmento da Medalha  (B)	1 fragmento de 5 partes.	
30267	Fragmento da Medalha  (C)	1 fragmento de 5 partes.	
30268	Fragmento da Medalha  (D)	1 fragmento de 5 partes.	
30269	Fragmento da Medalha  (E)	1 fragmento de 5 partes.	
30272	Relíquia do Guerreiro	Permite adicionar bônus de relíquia. Um máximo de 4 bônus podem ser ativados ao mesmo tempo. Os bônus não podem ser alterados.	
30273	Relíquia do Ninja	Permite adicionar bônus de relíquia. Um máximo de 4 bônus podem ser ativados ao mesmo tempo e não podem ser alterados.	
30274	Relíquia do Shura	Permite adicionar bônus de relíquia. Um máximo de 4 bônus podem ser ativados ao mesmo tempo e não podem ser alterados.	
30275	Relíquia do Shaman	Permite adicionar bônus de relíquia. Um máximo de 4 bônus podem ser ativados ao mesmo tempo e não podem ser alterados.	
30276	Relíquia do Lycan	Permite adicionar bônus de relíquia. Um máximo de 4 bônus podem ser ativados ao mesmo tempo e não podem ser alterados.	
30280	Peça de Relíquia - Guer.	Com esta peça, o Girab pode criar uma Relíquia para Guerreiros.	
30281	Peça de Relíquia - Ninja	Com esta peça, o Girab pode criar uma Relíquia para Ninjas.	
30282	Peça de Relíquia - Shura	Com esta peça, o Girab pode criar uma Relíquia para Shuras.	
30283	Peça de Relíquia - Sham.	Com esta peça, o Girab pode criar uma Relíquia para Shamans.	
30284	Peça de Relíquia - Lycan	Com esta peça, o Girab pode criar uma Relíquia para Lycans.	
30311	Chave infernal	Arraste a chave infernal para a pedra infernar antes que termine o tempo. A chave sumirá após o tempo restante esgotar.	
30315	Pão de Rosca	Pão feito com cevada fresca. Parece muito atraente, com um aroma distinto decorrente da semente de gergelim polvilhada por cima.	
30316	Prato para Pães	Prato usado para pães.	
30317	Prato de Pães de Rosca 	Um belo prato servindo deliciosos pães de rosca. Embora seja muito apetitoso, eu prefiro dar a alguém que precise do que comer sozinho.	
30318	Figo	A fruta sem flor. Sabor como nenhum antes provado, uma rara mercadoria difícil de encontrar no império. Dizem que pode trazer grande sorte.	
30319	Insígnia Demoníaca	A cabeça encolhida deste demônio abre o selo do 3º andar da Caverna Demoníaca. Este item é negociável.	
30321	Abóbora	O Sr.Jack perdeu suas Abóboras Mágicas.  Ele ficara muito feliz se você devolvê-las.| Ou não... 	
30322	Varinha Mágica	Tenha em mãos uma Abóbora  e esta Varinha Mágica. Veja a mágica acontecer!	
30323	Cupom Mascara de abobora	Oh! Jack ficara feliz em trocar esse cupom por um máscara igualzinha a dele!	
30334	Cupom Elmo Halloween	Um cupom para ser trocado por um elmo (Disponível apenas durante evento de Halloween). | Clique duas vezes sobre o item para utilizá-lo.	
30336	Abóbora Lanterna	A lanterna que o Cabeça de Abóbora está procurando	
30337	Semente de Abóbora	As sementes de abóbora se transformarao em uma recompensa quando usadas.	
