VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	????	NEW_WORLD
//14145	BUILDIN	ob1-set	Muro	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	0	0	1	0

14200	OBJECT	guild_symbol	Emblema da Guilda	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1	0
14201	WALL	fence01_door01	¥„¿Â¥ÎπÆ	-1000	-54	1000	20	0	0	360	3000000	90010.5	0	0	1	1	0
14202	WALL	fence01_back01	¥„¿Âµﬁ∫Æ	-1000	-18	1000	18	0	0	360	3000000	90010.5	0	0	1	1	0
14203	WALL	fence01_left01	¥„¿Âøﬁ∫Æ	-19	-1362	19	1362	0	0	360	3000000	90010.5	0	0	1	1	0
14204	WALL	fence01_right01	¥„¿Âø¿∏•∫Æ	-18	-1362	18	1362	0	0	360	3000000	90010.5	0	0	1	1	0
																	
14300	OBJECT	general_obj_stone01	Pedra	-116.04	-118.44	116.04	118.44	0	0	360	300000	90010,5	0	0	0	1	0
14301	OBJECT	general_obj_stone02	Pedra	-118.05	-132.67	118.05	132.67	0	0	360	300000	90010,5	0	0	0	1	0
14302	OBJECT	general_obj_stone03	Pedra	-133.43	-102.96	133.43	102.96	0	0	360	300000	90010,7	0	0	0	1	0
14303	OBJECT	general_obj_stone04	Pedra	-104.21	-117.82	104.21	117.82	0	0	360	300000	90010,7	0	0	0	1	0
14304	OBJECT	general_obj_stone05	Pedra	-171.59	-145.52	171.59	145.52	0	0	360	300000	90010,7	0	0	0	1	0
14305	OBJECT	general_obj_stone06	Pedra	-192.74	-201.58	192.74	201.58	0	0	360	300000	90010,8	0	0	0	1	0
14306	OBJECT	general_obj_stone07	Pedra	-183.58	-184.01	183.58	184.01	0	0	360	300000	90010,8	0	0	0	1	0
14307	OBJECT	general_obj_stone08	Pedra	-66.89	-56.67	66.89	56.67	0	0	360	300000	90010,8	0	0	0	1	0
14308	OBJECT	general_obj_stone09	Pedra	-65.87	-53.47	65.87	53.47	0	0	360	300000	90010,9	0	0	0	1	0
14309	OBJECT	general_obj_stone10	Pedra	-182.17	-123.03	182.17	123.03	0	0	360	300000	90010,9	0	0	0	1	0
																	
14400	OBJECT	B1_PagodaTree_RT	¡rvore					0	0	360	2000000	90011,5	0	0	0	1	0
14401	OBJECT	B1_PagodaTree_RT3	¡rvore					0	0	360	2000000	90011,5	0	0	0	1	0
14402	OBJECT	B1_Sassafras_RT_Fall	¡rvore					0	0	360	2000000	90011,7	0	0	0	1	0
14403	OBJECT	B1_Sassafras_RT_Fall2	¡rvore					0	0	360	2000000	90011,7	0	0	0	1	0
14404	OBJECT	B3_ShingleOak_RT2	¡rvore					0	0	360	2000000	90011,7	0	0	0	1	0
14405	OBJECT	B2_IvySpy_RT	¡rvore					0	0	360	2000000	90011,9	0	0	0	1	0
14406	OBJECT	B2_IvySpy_RT4	¡rvore					0	0	360	2000000	90011,9	0	0	0	1	0
14407	OBJECT	B2_JapaneseMaple_RT_Fall	¡rvore					0	0	360	2000000	90011,9	0	0	0	1	0
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	¡rvore					0	0	360	2000000	90011,9	0	0	0	1	0
																	
20139	OBJECT	flag_a	Bandeira1	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
20140	OBJECT	flag_b	Bandeira2	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
20141	OBJECT	flag_c	Bandeira3	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0

